iso_code,continent,location,date,population,new_cases,new_deaths,total_cases,total_deaths,new_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_cases_per_million,new_deaths_per_million,new_vaccinations_per_million,new_cases_ra7,new_deaths_ra7,new_vaccinations_ra7,new_cases_per_million_ra7,new_deaths_per_million_ra7,new_vaccinations_per_million_ra7
ITA,Europe,Italy,2021-05-25,59037472.0,2489.0,110.0,4194672.0,125335.0,480865.0,22018187.0,10806787.0,,42.15966428914842,1.8632234117341608,8145.081144395885,4585.142857142857,148.42857142857142,499459.1428571429,77.66495925067485,2.5141417205088223,8460.03607432823
ITA,Europe,Italy,2021-05-26,59037472.0,3220.0,166.0,4197892.0,125501.0,529161.0,22307665.0,11077622.0,,54.54163077985453,2.81177351225337,8963.137852515094,4409.571428571428,143.42857142857142,505227.4285714286,74.69106110389396,2.429449747248179,8557.741574223039
ITA,Europe,Italy,2021-05-27,59037472.0,3935.0,121.0,4201827.0,125622.0,591799.0,22618291.0,11380916.0,,66.65258295612658,2.049545752907577,10024.125016735134,4186.0,139.42857142857142,510422.5714285714,70.9041200138109,2.361696168639664,8645.738954211512
ITA,Europe,Italy,2021-05-28,59037472.0,4143.0,171.0,4205970.0,125793.0,596131.0,22943656.0,11672218.0,,70.17576904376935,2.896465485514014,10097.502142368156,3958.428571428572,140.42857142857142,513675.28571428574,67.0494253451193,2.3786345632917927,8700.834712473557
ITA,Europe,Italy,2021-05-29,59037472.0,3737.0,126.0,4209707.0,125919.0,525638.0,23264414.0,11896191.0,,63.29878081500509,2.134237726168221,8903.463888155644,3747.285714285714,127.28571428571428,513940.8571428572,63.47300430285555,2.156015662149529,8705.33306613903
ITA,Europe,Italy,2021-05-30,59037472.0,3348.0,83.0,4213055.0,126002.0,402805.0,23520788.0,12061541.0,,56.70974529532701,1.405886756126685,6822.870057850715,3552.1428571428573,121.28571428571428,513154.1428571429,60.16759757502586,2.0543852942367566,8692.007389089134
ITA,Europe,Italy,2021-05-31,59037472.0,2948.0,44.0,4216003.0,126046.0,481052.0,23849110.0,12270853.0,,49.93438743447551,0.7452893646936644,8148.248624195832,3402.8571428571427,117.28571428571428,515350.1428571429,57.6389372305295,1.9866317156282416,8729.204103745209
ITA,Europe,Italy,2021-06-01,59037472.0,1818.0,82.0,4217821.0,126128.0,470500.0,24185561.0,12472160.0,,30.79400147757004,1.3889483614745564,7969.51468382657,3307.0,113.28571428571428,513869.4285714286,56.01527111458973,1.9188781370197268,8704.123180806735
ITA,Europe,Italy,2021-06-02,59037472.0,2483.0,93.0,4220304.0,126221.0,413033.0,24527338.0,12581363.0,,42.05803392123565,1.5752707026479724,6996.115958352688,3201.714285714286,102.85714285714286,497279.7142857143,54.23190013478704,1.74223487850467,8423.120053069248
ITA,Europe,Italy,2021-06-03,59037472.0,2896.0,62.0,4223200.0,126283.0,598960.0,24994916.0,12750699.0,,49.05359091256482,1.0501804684319815,10145.420860839027,3053.285714285714,94.42857142857144,498302.7142857143,51.71775841427821,1.599468409293871,8440.448030798376
