Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2024-03-05,168.90704345703125,174.1199951171875,131.76124572753906,398.2122802734375,180.74000549316406
2024-03-06,167.9141845703125,173.50999450683594,130.49990844726562,397.6584777832031,176.5399932861328
2024-03-07,167.7950439453125,176.82000732421875,133.45950317382812,404.6308288574219,178.64999389648438
2024-03-08,169.5126953125,175.35000610351562,134.4824676513672,401.7430114746094,175.33999633789062
2024-03-11,171.51829528808594,171.9600067138672,136.72698974609375,400.06170654296875,177.77000427246094
2024-03-12,171.99488830566406,175.38999938964844,137.55128479003906,410.7030944824219,177.5399932861328
2024-03-13,169.90985107421875,176.55999755859375,138.8324737548828,410.5251159667969,169.47999572753906
2024-03-14,171.76651000976562,178.75,142.1197967529297,420.5335998535156,162.5
2024-03-15,171.38922119140625,174.4199981689453,140.2129364013672,411.8305969238281,163.57000732421875
2024-03-18,172.48138427734375,174.47999572753906,146.6683807373047,412.72064208984375,173.8000030517578
2024-03-19,174.82456970214844,175.89999389648438,146.02288818359375,416.76556396484375,171.32000732421875
2024-03-20,177.39608764648438,178.14999389648438,147.72116088867188,420.5434265136719,175.66000366210938
2024-03-21,170.14813232421875,178.14999389648438,146.58895874023438,424.6378173828125,172.82000732421875
2024-03-22,171.05166625976562,178.8699951171875,149.7372589111328,424.0147705078125,170.8300018310547
2024-03-25,169.63185119628906,179.7100067138672,149.04205322265625,418.1995849609375,172.6300048828125
2024-03-26,168.49996948242188,178.3000030517578,149.63790893554688,417.0028991699219,177.6699981689453
2024-03-27,172.07432556152344,179.8300018310547,149.83656311035156,416.78533935546875,179.8300018310547
2024-03-28,170.25735473632812,180.3800048828125,149.8961639404297,416.08319091796875,175.7899932861328
2024-04-01,168.81768798828125,180.97000122070312,154.4249267578125,419.8907165527344,175.22000122070312
2024-04-02,167.6361846923828,180.69000244140625,153.5012969970703,416.79522705078125,166.6300048828125
2024-04-03,168.44039916992188,182.41000366210938,153.8588104248047,415.816162109375,168.3800048828125
2024-04-04,167.6163330078125,180.0,149.49888610839844,413.27447509765625,171.11000061035156
2024-04-05,168.3708953857422,185.07000732421875,151.4553985595703,420.83026123046875,164.89999389648438
2024-04-08,167.2489471435547,185.19000244140625,153.78932189941406,419.9105224609375,172.97999572753906
2024-04-09,168.46026611328125,185.6699981689453,155.52731323242188,421.58184814453125,176.8800048828125
2024-04-10,166.583740234375,185.9499969482422,155.07044982910156,418.5951843261719,171.75999450683594
2024-04-11,173.79197692871094,189.0500030517578,158.3180694580078,423.21368408203125,174.60000610351562
2024-04-12,175.29119873046875,186.1300048828125,156.64956665039062,417.2501525878906,171.0500030517578
2024-04-15,171.45870971679688,183.6199951171875,153.79922485351562,409.0812072753906,161.47999572753906
2024-04-16,168.1723175048828,183.32000732421875,153.34237670898438,410.0108642578125,157.11000061035156
2024-04-17,166.8021697998047,181.27999877929688,154.40504455566406,407.3010559082031,155.4499969482422
2024-04-18,165.8489990234375,179.22000122070312,154.9413604736328,399.8144836425781,149.92999267578125
2024-04-19,163.82354736328125,174.6300048828125,153.0345001220703,394.7212219238281,147.0500030517578
2024-04-22,164.65756225585938,177.22999572753906,155.2095184326172,396.5409240722656,142.0500030517578
2024-04-23,165.7100067138672,179.5399932861328,157.17593383789062,403.078125,144.67999267578125
2024-04-24,167.8148956298828,176.58999633789062,158.03997802734375,404.5516357421875,162.1300048828125
2024-04-25,168.6787109375,173.6699981689453,154.93142700195312,394.6421203613281,170.17999267578125
2024-04-26,168.0928955078125,179.6199951171875,170.77215576171875,401.8418884277344,168.2899932861328
2024-04-29,172.26295471191406,180.9600067138672,165.01190185546875,397.8167419433594,194.0500030517578
2024-04-30,169.11557006835938,175.0,161.66497802734375,385.0390930175781,183.27999877929688
2024-05-01,168.0928955078125,179.0,162.7375946044922,390.5872802734375,179.99000549316406
2024-05-02,171.79629516601562,184.72000122070312,165.47866821289062,393.4552917480469,180.00999450683594
2024-05-03,182.07254028320312,186.2100067138672,166.09442138671875,402.1781311035156,181.19000244140625
2024-05-06,180.41441345214844,188.6999969482422,166.94854736328125,408.9822998046875,184.75999450683594
2024-05-07,181.09950256347656,188.75999450683594,170.0769805908203,404.82861328125,177.80999755859375
2024-05-08,181.43707275390625,188.0,168.2197723388672,406.0154113769531,174.72000122070312
2024-05-09,183.25404357910156,189.5,168.79580688476562,407.7757568359375,171.97000122070312
2024-05-10,181.9913787841797,187.47999572753906,167.49476623535156,410.1690368652344,168.47000122070312
2024-05-13,185.20269775390625,186.57000732421875,167.98141479492188,409.1603088378906,171.88999938964844
2024-05-14,186.3460235595703,187.07000732421875,169.17320251464844,411.9690246582031,177.5500030517578
2024-05-15,188.62281799316406,185.99000549316406,171.3283233642578,419.1718444824219,173.99000549316406
2024-05-16,188.7421112060547,183.6300048828125,172.98690795898438,417.1011657714844,174.83999633789062
2024-05-17,188.7719268798828,184.6999969482422,174.85398864746094,416.328369140625,177.4600067138672
2024-05-20,189.93516540527344,183.5399932861328,175.7081298828125,421.4110107421875,174.9499969482422
2024-05-21,191.2375946044922,183.14999389648438,176.63177490234375,425.0767822265625,186.60000610351562
2024-05-22,189.79595947265625,183.1300048828125,175.17181396484375,426.54315185546875,180.11000061035156
2024-05-23,185.79922485351562,181.0500030517578,172.36119079589844,423.0556640625,173.74000549316406
2024-05-24,188.8813018798828,180.75,173.7913360595703,426.1864318847656,179.24000549316406
2024-05-28,188.89125061035156,182.14999389648438,175.1916961669922,426.34503173828125,176.75
2024-05-29,189.18951416015625,182.02000427246094,174.69509887695312,425.2056579589844,176.19000244140625
